species,attacks,mean.attack.height,mean.percent.canopy,mean.FD,mean.third,hanging,reaching,flutter.chasing,gaping,gleaning,lunging,pecking,probing,pulling,sally.gliding,sally.hovering,sally.pouncing,sally.stalling,sally.striking,air,branches,nectarivory,frugivory,ground,hanging.bark,insect.cases,leaves,webs,woody.fruits,dead,mean.flower.length
Acanthagenys_rufogularis,216,3.91,0.67,2.59,2.65,0.1,0,0,0,0.19,0,0,0.67,0,0,0.02,0.01,0.02,0.09,0.09,0.03,0.66,0.11,0.02,0,0,0.08,0.01,0,0,0.93
Acanthorhynchus_superciliosus,52,2.61,0.77,2.24,2.63,0.09,0,0,0,0.07,0,0,0.71,0,0,0.02,0,0,0.15,0.19,0.06,0.67,0,0,0,0,0.07,0,0,0,2.58
Acanthorhynchus_tenuirostris,205,4.37,0.49,2.11,2.4,0.13,0,0.02,0,0.06,0,0,0.64,0,0,0.04,0,0,0.2,0.23,0.05,0.64,0,0,0,0,0.08,0,0,0,1.35
Anthochaera_carunculata,153,8.85,0.76,2.06,2.57,0.25,0.04,0,0,0.2,0,0,0.61,0,0.03,0,0.03,0.02,0.1,0.14,0.18,0.56,0.01,0.02,0,0,0.1,0,0,0.01,1.02
Anthochaera_chrysoptera,111,4.84,0.63,2.15,2.61,0.16,0.03,0,0,0.08,0,0,0.67,0,0,0.08,0.01,0.05,0.12,0.22,0.05,0.65,0,0.01,0,0,0.08,0,0,0,2.46
Anthochaera_lunulata,41,5.02,0.85,2.32,2.95,0.13,0,0,0,0.04,0,0,0.79,0,0,0,0,0.03,0.15,0.17,0.01,0.79,0,0,0,0,0.03,0,0,0,2.54
Anthochaera_paradoxa,67,15.81,0.78,2.19,2.38,0.23,0.1,0,0,0.72,0,0,0.18,0,0.01,0.02,0.01,0.02,0.02,0.03,0.57,0.06,0.01,0,0,0,0.33,0,0,0.03,2
Anthochaera_phrygia,41,17.79,0.82,2.32,2.73,0.59,0.04,0.03,0,0.09,0,0,0.7,0,0,0,0,0.03,0.15,0.12,0.1,0.69,0,0,0,0,0.09,0,0,0,0.3
Ashbyia_lovensis,22,0.01,0.12,0.57,3.54,0,0,0,0,0.82,0,0.12,0,0,0,0,0.02,0.02,0.01,0.07,0,0,0,0.84,0,0,0.1,0,0,0,0
Bolemoreus_frenatus,100,14.2,0.66,2.34,2.35,0.28,0.05,0.05,0,0.39,0,0,0.38,0,0,0.01,0.01,0,0.16,0.14,0.16,0.35,0,0.01,0.01,0,0.33,0,0,0.01,0.73
